Ping droplet server 
- ping 147.182.157.116 -w 10

Output:
PING 147.182.157.116 (147.182.157.116) 56(84) bytes of data.
64 bytes from 147.182.157.116: icmp_seq=1 ttl=64 time=0.044 ms
64 bytes from 147.182.157.116: icmp_seq=2 ttl=64 time=0.055 ms
64 bytes from 147.182.157.116: icmp_seq=3 ttl=64 time=0.051 ms
64 bytes from 147.182.157.116: icmp_seq=4 ttl=64 time=0.071 ms
64 bytes from 147.182.157.116: icmp_seq=5 ttl=64 time=0.054 ms
64 bytes from 147.182.157.116: icmp_seq=6 ttl=64 time=0.052 ms
64 bytes from 147.182.157.116: icmp_seq=7 ttl=64 time=0.054 ms
64 bytes from 147.182.157.116: icmp_seq=8 ttl=64 time=0.056 ms
64 bytes from 147.182.157.116: icmp_seq=9 ttl=64 time=0.052 ms
64 bytes from 147.182.157.116: icmp_seq=10 ttl=64 time=0.066 ms

